High-level Pattern,Sub pattern,Description,Example,Optimized Metrics,Detection
Control-Flow and Branching Optimizations,Rearranging branches,Reorder conditional branches so that the most likely condition is evaluated first.,"Code Before Optimization:
if (not_likely_condition) {} else {}

Code After Optimization:
if (likely_case) {} else {}","CPU cycles, branch misprediction rate",Branch prediciton counters
Control-Flow and Branching Optimizations,Combining branches,Combine multiple logical conditions into a single,"Code Before Optimization:
if (x == 0 && y == 0) {}

Code After Optimization:
if (x + y == 0) {}","CPU cycles, branch instruction count",Branch prediciton counters
Control-Flow and Branching Optimizations,Rearranging for early return,"Estructuring the code so that base cases or exceptional conditions are handled first. By placing these branches at the top of the function, the logic becomes clearer, deeply nested blocks are avoided, and the main execution path is easier to follow.","Before:
def get_discounted_price(price):
    final_price = 0
    if price > 0:
        if price < 50:
            final_price = price
        else:
            final_price = price * 0.9
    else:
        final_price = 0

    return final_price

After:
def get_discounted_price(price):
    if price <= 0:
        return 0  # base case handled early

    if price < 50:
        return price  # simple case returned early

    # main logic
    return price * 0.9","CPU cycles, branch instruction count",Branch prediciton counters
Memory and Data Locality Optimizations,Access Data with Appropriate Type (Prevent Store Forwarding Issues),"Ensure data is accessed by the type that was used to store it. A store followed closely by a load from the same memory address can cause problems if sizes or allignment don't match, stalling the CPU pipeline.","Narrative:
Profiling revealed high counts of MOB load replays retired, resulting in CPU stalls. It was determined a store forwarding issue was the root cause. In the original code, only the lower 32-bits were stored before the 64-bit read. The solution was to store both the lower and higher 32-bits then read.

Code Before Optimization:
struct Data {
    uint32_t lo;
    uint32_t hi;
};

Data d;
d.lo = 42;
uint64_t full = *reinterpret_cast<uint64_t*>(&d);

Code After Optimization:
struct Data {
    uint32_t lo;
    uint32_t hi;
};

Data d;
d.lo = 42;
d.hi = 0;
uint64_t full = *reinterpret_cast<uint64_t*>(&d);","Less MOB loads replays retired, possibly resulting in reduced latency","MOB loads replays retired, resource related stalls"
Memory and Data Locality Optimizations,Arrange Data for Optimal Hardware Prefetching,Arrange data structure accesses so that hardware prefetch naturally prefetches the data.,"Narrative:
Profiling revealed a high umber of first-level cache misses during the traversal of a large, pointer-based linked list. Because traditional linked lists store nodes in non-continuous memory, the hardware prefetching struggled to predict and fetch the next memory location in advance, leading to frequent stalls. To address this, the data structure was reorganized so that all nodes were allocated in a single contiguous memory block. The next pointers were then assigned in a sequential manner, enabling a natural stride pattern that the hardware prefetcher could detect. This optimization resulted in the number of first-level cache misses retired being significantly reduced, improving overall memory access efficiency and loop throughput.

Code After Optimization:
// Function to create a prefetch-friendly linked list
Node* create_contiguous_linked_list(int n) {
    if (n <= 0) return NULL;

    // Allocate memory for all nodes in a contiguous block
    Node* buffer = (Node*) malloc(n * sizeof(Node));
    if (!buffer) {
        printf(""Memory allocation failed!\n"");
        return NULL;
    }

    // Link nodes sequentially (contiguous memory layout)
    for (int i = 0; i < n - 1; i++) {
        buffer[i].value = i;
        buffer[i].next = &buffer[i + 1];
    }
    buffer[n - 1].value = n - 1;
    buffer[n - 1].next = NULL; // End of list

    return buffer; // Return pointer to the first node
}","Decrease cache miss retired events, leading to increased throughput",Use the 1st level cache misses retired event counter to find the locations of the cache miss events
Memory and Data Locality Optimizations,Improve CPU Cache management,Avoid cache capacity issues by operating on smaller cache sized buffers.,"Narrative:
Profiling revealed a high number of 1st level cache miss retired events in the multiplyMatrix function. Further analysis of the algorithm determined the algorithm could be computed in tiles. Tile size was determined based on the target systems L1 data cache size. The resulting tiledMatrixMultiplication algorithm reduced the number of 1st level cache misses and increased throughput.

Code Before Optimization:
// Function to perform matrix multiplication
void multiplyMatrices(int A[M][N], int B[N][P], int C[M][P]) {
    for (int i = 0; i < M; i++) {
        for (int j = 0; j < P; j++) {
            C[i][j] = 0;  // Initialize result matrix cell
            for (int k = 0; k < N; k++) {
                C[i][j] += A[i][k] * B[k][j];
            }
        }
    }
}

Code After Optimization:
// Function for tiled matrix multiplication
void tiledMatrixMultiply(int A[M][N], int B[N][P], int C[M][P]) {
    // Initialize result matrix
    for (int i = 0; i < M; i++)
        for (int j = 0; j < P; j++)
            C[i][j] = 0;

    // Blocked matrix multiplication
    for (int i = 0; i < M; i += TILE_SIZE) {
        for (int j = 0; j < P; j += TILE_SIZE) {
            for (int k = 0; k < N; k += TILE_SIZE) {

                // Multiply sub-matrices (tiles)
                for (int ii = i; ii < i + TILE_SIZE && ii < M; ii++) {
                    for (int jj = j; jj < j + TILE_SIZE && jj < P; jj++) {
                        for (int kk = k; kk < k + TILE_SIZE && kk < N; kk++) {
                            C[ii][jj] += A[ii][kk] * B[kk][jj];
                        }
                    }
                }
            }
        }
    }
}
","Decreased number 1st-level cache miss retired events, leading to greater throughput",The 1st level cache misses retired event counter can be used to find the source of cache misses events.
Memory and Data Locality Optimizations,Increase Workload to Mitigate Memory Access Latency,The processor can exploit idle time during memory fetches by executing non-data dependent instructions.,"Narrative:
Profiling revealed a high number of 1st-level cache miss retired events in the process_data function. Non-data dependent work was moved to the location of the cache misses. This optimization hid memory latency and decreased CPI.

Code Before Optimization:
void process_data(int *data, int *output, int n) {
    for (int i = 0; i < n; i++) {
        // Load data from memory (potential cache miss)
        int value = data[i];

        // Process the data (dependent on memory load)
        output[i] = value * 2;

        // Perform some independent work after
        printf(""Processing index %d\n"", i);
    }
}

Code After Optimization:
void process_data(int *data, int *output, int n) {
    for (int i = 0; i < n; i++) {
        // Start the memory load early
        int value = data[i];

        // Do independent work while waiting for memory fetch
        printf(""Processing index %d\n"", i);

        // Now use the fetched data
        output[i] = value * 2;
    }
} ",CPI,The 1st level cache misses retired event counter can be used to find the source of cache misses events. Analyze source code to find non-dependant instructions.
Memory and Data Locality Optimizations,Use Smaller Data Types,"Based on program or algorithmic requirements, choose smallest satisfactory data type.","Narrative:
Profiling revealed a large number of Level-1 cache misses during access to an array of 64-bit double-precision floating point values. After reviewing the numerical requirements of the algorithm, it was determined that 32-bit single-precision floats would provide sufficient accuracy. Replacing double with float reduced cache pressure, resulting in fewer Level-1 cache misses and lower overall latency.

Code Before Optimization:
vector<double> data(100000, 0.0);

Code After Optimization:
vector<float> data(100000, 0.0f);","Less 1st level cache misses, leading to reduced latency","Analyze source code for large data types (e.g., double precision 64-bit), if double precision is deemed unnecessary replace with smaller data type (e.g., single precision float 32-bit). If profiling data is available, look for large number of 1st level cache misses retired events."
Memory and Data Locality Optimizations,Caching,"Store results of expensive or frequently repeated operations to avoid recomputation or re-fetching. Improves performance, especially for read-heavy workloads.",Database buffer cache storing frequently accessed query results.,"Latency, throughput, cache hit rate",Cache hit/miss rate
Memory and Data Locality Optimizations,Buffering,"Data is temporarily stored in memory before being sent to its destination, allowing for coalesced, larger I/O operations. This improves throughput but may increase latency.",Using a ring buffer to batch writes in a producer-consumer pipeline or file system write operations.,"Throughput, I/O size","High system call frequency, frequeny small I/O operations, poor I/O throughput"
Memory and Data Locality Optimizations,Improve cache locality - spatial locality,"Restructure code and data layout and access patterns to increase cache efficiency by maximizing spatial locality (placing related data together).
Spatial Locality: Optimize Data Layout.
Group data that is frequently accessed together so they share cache lines.
Common techniques: struct-field reordering, AoS↔SoA transformations, alignment/padding, and custom memory layouts.","Example 1:
Profiling revealed code using the bad_locality struct suffered from a high number of cache line replacements. Further analysis revealed that the x and y field were often accessed in sequence. This data is separated by four cache lines. Rearranging the structure as seen in the better_locality struct resulted in half as many cache lines being loaded.

Code Before Optimization:
struct bad_locality {
    int x;
    char strdata[252];
    int y;
}

Code After Optimization:
struct better_locality {
    int x;
    int y;
    char strdata[252];
}

Example 2:
In the original implementation, a collection of points was stored using an Array of Structs (AoS). When accessing only one field x, the CPU still loaded the surrounding fields y and z into the cache, leading to inefficient cache utilization. The structure was transformed into a Structure of Arrays (SoA), allowing memory accesses to be concentrated on the required data fields. This optimization reduces cache line waste and improved data locality, resulting in improved memory throughput.

Code Before Optimization:
// Array of Structs (AoS) - Poor Cache Utilization
typedef struct {
    float x;
    float y;
    float z;
} Point;

void process_points(Point *points, int n) {
    for (int i = 0; i < n; i++) {
        //When accessing x, the CPU also loads y and z, even if they aren’t immediately needed.
        points[i].x *= 2.0f;
        points[i].y *= 2.0f;
        points[i].z *= 2.0f;
    }
}

Code After Optimization:
// Struct of Arrays (SoA) - Better Cache Utilization
typedef struct {
    float *x;
    float *y;
    float *z;
} PointArray;

void process_points(PointArray *points, int n) {
    for (int i = 0; i < n; i++) {
        //Accessing points->x[i] only loads x values, avoiding unnecessary y and z loads.
        points->x[i] *= 2.0f;
    }
    for (int i = 0; i < n; i++) {
        points->y[i] *= 2.0f;
    }
    for (int i = 0; i < n; i++) {
        points->z[i] *= 2.0f;
    }
}","Less cache line replacements, increased cache efficiency","Apply when you see:
Code smells:

Struct fields accessed together but separated by unused data

Runtime symptoms:

High cache miss rate (>10%)
Memory-bound performance
Low CPU utilization despite slow execution"
Memory and Data Locality Optimizations,Improve cache locality - temporal locality,"Restructure code and data layout and access patterns to increase cache efficiency by maximizing temporal locality (reusing data while it remains in cache).
Temporal Locality: Optimize Access Patterns.
Access data in an order that reuses it before eviction from cache.
Common techniques: loop interchange/reordering, loop tiling/blocking, single-pass scans, and streaming-style algorithms.","Temporal Locality: Use Loop interchange to optimize for temporal locality - load data once, use immediately while hot in cache.
Before:
for i in range(n_vars):
    for j in range(i, n_vars):
        # Pass 1: Compute means
        for k in range(n_obs):
            val_i = a[i, k]
            val_j = a[j, k]
            sum_i += val_i
            sum_j += val_j
        
        # Pass 2: Compute variance
        for k in range(n_obs):  # AGAIN!
            val_i = a[i, k]      # Re-load same data
            val_j = a[j, k]
            cov_sum += (val_i - mean_i) * (val_j - mean_j)

After:
# Pre-allocate accumulators
sums_i = np.zeros((n_vars, n_vars))
sums_ij = np.zeros((n_vars, n_vars))
counts = np.zeros((n_vars, n_vars))

# Single pass through observations
for k in range(n_obs):
    obs = a[:, k]  # Load ONCE
    
    for i in range(n_vars):
        for j in range(i, n_vars):
            # Use cached values immediately
            sums_i[i,j] += obs[i]
            sums_ij[i,j] += obs[i] * obs[j]
            counts[i,j] += 1","cache miss reduction, latency","Apply when you see:
Code smells:

Multiple passes through same dataset
Non-contiguous memory access (stride > 1)
Column-wise access in row-major arrays

Runtime symptoms:

High cache miss rate (>10%)
Memory-bound performance
Low CPU utilization despite slow execution"
Memory and Data Locality Optimizations,Optimize Object Use,"Excessive allocation of temporary objects—particularly inside loops or frequently invoked methods—can lead to significant performance overhead due to increased garbage collection pressure and unnecessary memory churn. To mitigate this, rewrite loops so each iteration performs only essential work: hoist loop-invariant computations outside the loop, replace costly constructs with cheaper alternatives, reuse objects or buffers when possible, and clear collections instead of reallocating them. Together, these techniques reduce per-iteration overhead, minimize transient allocations, and improve overall runtime efficiency.
","Narrative:
A new string object was being created at the beginning of every for loop. Moving the allocation outside of the loop decreased the number of objects created.

Code Before Optimization:
for (int i=0; i<n; i++) {
    String s = ""hello world!"";
    doSomethingWithString(s);
}

Code After Optimization:
String s = ""hello world!"";
for (int i=0; i<n; i++) {
    doSomethingWithString(s);
}","Memory usage, GC","Look areas where temporary objects can be re-used instead of re-created, especially in loops."
Memory and Data Locality Optimizations,Reduce memory bloat from RTSJ Immortal Memory,"Creating temporary objects in immortal memory leads to memory bloat and requires the programmer to know the amount of memory needed ahead of time. In this case, it is recommended to create temporary objects in scoped memory then communicate the result using primitives.","Narrative:
To efficiently perform hashtable lookups, the corresponding method creates a temporary object. It is recommended to call the method in scoped memory, then communicate the result using a primitive variable. Instantiating the temporary object in scoped memory ensures the object is dropped when the scope is exited. This optimization reduces code bloat and memory footprint.

Code After Optimization:
Runnable DesignPatternToRead=new Runnable()
{
    public void run()
    {
        String[] y=Main.Tracks.get(T);
        if ( y[0].equals(""OFF"")) Main.PrimitiveVariable=1;
        else if ( y[0].equals(""ON"")) Main.PrimitiveVariable=2;
            else if ( y[0].equals("""")) Main.PrimitiveVariable=0;
    }
};

ScopedMemory1.enter(DesignPatternToRead);
if ( Main.PrimitiveVariable==1)
{
     // Update the Track status
} ",Memory usage,Look for temporary object allocation in immortal memory.
Memory and Data Locality Optimizations,Cache Eviction Policy,"Configure cache size limits and eviction policies to prevent unbounded memory growth while maintaining acceptable hit rates through intelligent removal of entries. 
Transform unbounded caches (O(∞) memory) into bounded caches (O(n) fixed memory) by implementing automatic eviction when limits are reached.

","Before:
pythonCACHES = {
    ""default"": {
        ""BACKEND"": ""django.core.cache.backends.locmem.LocMemCache""
    }
}
After:
pythonCACHES = {
    ""default"": {
        ""BACKEND"": ""django.core.cache.backends.locmem.LocMemCache"",
        ""OPTIONS"": {
            ""MAX_ENTRIES"": 1000,
            ""CULL_FREQUENCY"": 3,  # Purge 1/3 of entries when max is reached
        }
    }
}",memory,"If cache keys can be generated from external input (user data, timestamps, UUIDs) and there's no size limit configured → You need an eviction policy."
Loop Transformations,Remove Conditional by Loop Unrolling,"When a conditional is dependent on loop index, it can often be removed, resulting in simpler and faster code.","Narrative:
Unrolling a loop that contains a conditional based on the loop index can simplify the code and improve performance by reducing branch mispredictions and loop overhead. By restructuring the loop to process multiple iterations per cycle, conditional checks are eliminated, leading to better instruction-level parallelism.

Code Before Optimization:
for (i=0; i<1000; i++)
{
    if (i & 0x01)
        do_odd(i);
    else
        do_even(i);
}

Code After Optimization:
for (i=0; i<1000; i+=2)
{
    do_even(i);
    do_odd(i+1);
}",ILP,"Optimizing compilers often apply loop transformations automatically. Only consider if loop transformation has not been applied.
Likely to be applicable when: low trip counts, small loop bodies; low trip counts, large loop bodies."
Loop Transformations,Loop Distribution (Fission),Loop distribution transformation is a technique used to optimize loops for vectorization. It works by splitting the loop's control flow across different statements within the loop body. This primarily helps to break up data dependence cycles and makes it easier to apply other loop transformations.,"Narrative:
Performance profiling revealed a bottleneck in the original loop due to a loop-carried dependency in the C(I) = C(I-1) + 1 computation. Each iteration relies on the result of the previous iteration, preventing ILP. To fix this, a loop distribution transformation was applied. This seperated the independent computations into distinct loops, allowing the A(I) = B(I) computation in the first loop to be vectorized.

Code Before Optimization:
DO I = 2, 100
    A(I) = B{I) 
    C(I) = C(I - 1) + 1
ENDDO

Code After Optimization:
DO I = 2, 100
    A(I) = B{I) 
ENDDO
Do I = 2, 100
    C(I) = C(I - 1) + 1
ENDDO",ILP,"If profiling data is available, look for a CPI greater than 1.0--this is a good indicator that the processor is not being fully utilized and ILP is low. Search for data dependence cycles that can be isolated and apply loop distribution in preparation for loop vectorization."
Loop Transformations,Loop Fusion,"Loop fusion is a code optimization technique that combines two adjacent loops with identical control flow into a single loop. This is beneficial for reducing overhead, improving loop granularity, and enhancing data locality by consolidating access to the same arrays. This transformation is only possible if it doesn't create backward data dependencies.","Narrative:
The original code incurs unnecessary loop control overhead. To optimize the code, loop fusion was applied. Since both loops share the same iteration space and have no conflicting data dependencies, they can be safely merged into a single loop. This fix reduces control overhead and improves ILP.

Code Before Optimization:
DO I = 1, N
    A(I) = 0
ENDDO
DO I = 1, N
    B(I) = 0
ENDDO

Code After Optimization:
Do I = 1, N
    A(I) = 0
    B(I) = 0
ENDDO",ILP,Optimizing compilers apply loop transformations automatically. Only consider if loop transformation has not applied. Loops that share the same iteration space and have no conflicting data dependencies are good candidates for loop fusion.
Loop Transformations,Loop Peeling,Loop pealing is a code transformation technique that moves parts of a loop's iterations outside the main loop body. This can be used to ensure that array references within the loop are properly alligned in memory.,"Narrative:
The code before and after optimization demonstrate a simple example of loop pealing.

Code Before Optimization:
for (i=0; i<16; i++) {
    a[i] = k
    k = i;
}

Code After Optimization:
a[0] = k;
k = 0;
for (i=1; i<16; i++) {
    a[i] = k;
    k = i;
}",ILP,Optimizing compilers apply loop transformations automatically. Only consider if loop transformation has not applied.
Loop Transformations,Loop Interchanging,Loop interchanging is a code transformation technique that swaps the order of nested loops. This is useful for enforcing unit stride on most frequently accessed array. This transformation is valid if it doesn't introduce data dependencies between the iterations of the outer and inner loops.,"Narrative:
The code before and after optimization demonstrate a simple example of loop interchanging.

Code Before Optimization:
DO I=1, M
    DO J=1, N
        A(I,J) = 0.0
    ENDDO
ENDDO

Code After Optimization:
DO J=1, N
    DO I=1, M
        A(I,J) = 0.0
    ENDDO
ENDDO",ILP,Optimizing compilers apply loop transformations automatically. Only consider if loop transformation has not applied.
